building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
0,5,1,3+1,130,Sultangazi,50. Yıl,305000,380000
0,10-20 arası,10,3+1,90,Kadıköy,19 Mayıs,0,435000
0,5,5,3+2,175,Sultangazi,50. Yıl,0,420000
5,10-20 arası,Bahçe katı,2+1,80,Başakşehir,Kayabaşı,280000,280000
21-25 arası,4,En Üst Kat,2+1,88,Adalar,Maden,0,345000
21-25 arası,4,En Üst Kat,2+1,88,Adalar,Maden,95000,250000
21-25 arası,4,En Üst Kat,2+1,88,Adalar,Maden,605000,605000
31-35 arası,4,Yüksek Giriş,2+1,96,Fatih,Seyyid Ömer,190000,240000
21-25 arası,3,En Üst Kat,4+1,160,Adalar,Maden,0,645000
21-25 arası,3,En Üst Kat,4+1,160,Adalar,Maden,0,790000
21-25 arası,4,En Üst Kat,2+1,88,Adalar,Maden,0,350000
21-25 arası,3,3,4+1,130,Adalar,Kınalıada,275000,495000
31-35 arası,4,4,4+1,130,Fatih,Akşemsettin,105000,645000
21-25 arası,3,3,4+1,130,Adalar,Kınalıada,930000,1160000
31-35 arası,7,3,1+1,85,Şişli,Meşrutiyet,190000,190000
21-25 arası,3,3,4+1,130,Adalar,Kınalıada,520000,520000
16-20 arası,5,Yüksek Giriş,3+1,110,Bahçelievler,Siyavuşpaşa,0,145000
26-30 arası,2,Giriş Katı,2+1,80,Tuzla,Postane,350000,440000
21-25 arası,4,2,2+1,80,Fatih,Seyyid Ömer,50000,355000
26-30 arası,2,Giriş Katı,2+1,80,Tuzla,Postane,170000,210000
2,5,5,3+2,140,Bahçelievler,Şirinevler,130000,185000
21-25 arası,4,2,3+1,120,Maltepe,Altıntepe,0,165000
0,5,5,4+2,175,Beylikdüzü,Gürpınar,0,180000
0,5,5,4+1,180,Ümraniye,Namık Kemal,0,285000
0,3,1,2+1,110,Küçükçekmece,Sultan Murat,315000,315000
0,3,3,4+1,160,Bağcılar,Kirazlı,350000,350000
5,10-20 arası,7,3+1,135,Küçükçekmece,Halkalı Merkez,140000,370000
21-25 arası,5,4,2+1,80,Fatih,Haseki Sultan,0,210000
6-10 arası,5,En Üst Kat,4+2,165,Esenyurt,Zafer,270000,340000
0,4,3,3+1,120,Bağcılar,Merkez,0,110000
6-10 arası,10-20 arası,10,2+1,95,Esenyurt,Koza,175000,175000
11-15 arası,10-20 arası,11,3+1,145,Beylikdüzü,Büyükşehir,0,370000
5,3,Çatı Katı,3+2,145,Eyüpsultan,Merkez,85000,140000
1,10-20 arası,12,4+1,200,Beylikdüzü,Kavaklı,0,285000
2,4,En Üst Kat,3+2,170,Avcılar,Gümüşpala,0,165000
31-35 arası,5,5,2+1,85,Kadıköy,Rasimpaşa,165000,205000
11-15 arası,4,3,3+1,125,Üsküdar,Küçüksu,160000,345000
0,4,1,4+2,170,Sancaktepe,Akpınar,0,115000
0,5,En Üst Kat,3+2,140,Tuzla,Yayla,290000,175000
11-15 arası,10-20 arası,10,3+1,135,Beylikdüzü,Barış,230000,230000
31-35 arası,6,1,3+1,105,Kadıköy,Kozyatağı,0,245000
2,3,Yüksek Giriş,3+1,130,Beylikdüzü,Adnan Kahveci,295000,370000
0,5,3,2+1,80,Ümraniye,Namık Kemal,45000,140000
0,5,3,2+1,80,Ümraniye,Namık Kemal,0,160000
0,5,3,2+1,80,Ümraniye,Namık Kemal,0,175000
1,20 ve üzeri,6,3+1,90,Ataşehir,Küçükbakkalköy,0,325000
3,5,3,3+1,106,Tuzla,İstasyon,315000,395000
0,3,3,4+1,160,Bağcılar,Kirazlı,0,165000
11-15 arası,10-20 arası,11,3+1,130,Beylikdüzü,Büyükşehir,85000,125000
0,3,Kot 3,4+1,150,Bağcılar,Hürriyet,325000,405000
1,4,3,3+1,105,Bahçelievler,Bahçelievler,145000,430000
11-15 arası,10,En Üst Kat,4+1,169,Başakşehir,Başak,0,365000
31-35 arası,6,1,3+1,105,Kadıköy,Kozyatağı,150000,180000
11-15 arası,10-20 arası,10,3+1,165,Beylikdüzü,Adnan Kahveci,55000,155000
26-30 arası,4,3,3+1,125,Ataşehir,Atatürk,380000,425000
31-35 arası,6,1,3+1,105,Kadıköy,Kozyatağı,220000,220000
5,9,5,3+1,130,Beylikdüzü,Kavaklı,60000,475000
0,4,3,3+1,170,Bağcılar,Mahmutbey,0,360000
6-10 arası,4,Bahçe katı,3+1,165,Çekmeköy,Sultançiftliği,0,215000
5,4,1,2+1,115,Eyüpsultan,Güzeltepe,155000,195000
1,10-20 arası,7,2+1,95,Esenyurt,Güzelyurt,0,180000
21-25 arası,10-20 arası,8,5+1,185,Beylikdüzü,Büyükşehir,0,175000
0,10-20 arası,14,2+1,80,Kadıköy,Suadiye,0,900000
21-25 arası,6,2,3+1,100,Kadıköy,Erenköy,0,235000
0,6,2,3+1,100,Kartal,Hürriyet,40000,140000
0,10,1,3+1,110,Çekmeköy,Sultançiftliği,0,135000
0,6,2,3+1,100,Kartal,Hürriyet,100000,140000
16-20 arası,10,10,3+1,120,Başakşehir,Başak,225000,280000
6-10 arası,4,2,3+1,110,Tuzla,Şifa,25000,110000
0,20 ve üzeri,10,2+1,90,Beylikdüzü,Cumhuriyet,145000,180000
0,4,2,3+1,120,Çatalca,Ferhatpaşa,245000,305000
11-15 arası,9,8,3+1,105,Pendik,Harmandere,195000,195000
4,7,3,3+1,120,Beylikdüzü,Adnan Kahveci,0,265000
0,4,2,2+1,90,Bahçelievler,Kocasinan Merkez,100000,130000
31-35 arası,4,En Üst Kat,4+2,160,Fatih,Silivrikapı,160000,240000
0,4,2,2+1,90,Bahçelievler,Kocasinan Merkez,120000,150000
26-30 arası,10,5,3+1,130,Kadıköy,Kozyatağı,225000,225000
11-15 arası,7,Yüksek Giriş,2+1,90,Çekmeköy,Mimar Sinan,0,205000
0,10,10,2+1,90,Bağcılar,Güneşli,155000,155000
0,3,Yüksek Giriş,2+1,100,Bağcılar,15 Temmuz,235000,295000
11-15 arası,10-20 arası,11,3+1,145,Beylikdüzü,Büyükşehir,0,120000
0,6,2,3+1,100,Kartal,Hürriyet,305000,305000
3,5,4,1+1,80,Esenler,Namık Kemal,275000,345000
21-25 arası,5,4,3+1,110,Güngören,Abdurrahman Nafiz Gürman,145000,175000
